Vol,No.,day,mo,year,Collection,Book ID,JP2 ,start page,Notes (see orig file for page links),Derivative JPEG
40,6,,8,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0465.jp2,https://archive.org/stream/pictureplay3941stre#page/n463/mode/2up,pic cut,Picture-Play_vol40_no6_dd-8-1934_sml.jpg
41,1,,9,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0533.jp2,https://archive.org/stream/pictureplay3941stre#page/n531/mode/2up,,Picture-Play_vol41_no1_dd-9-1934_sml.jpg
41,2,,10,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0601.jp2,https://archive.org/stream/pictureplay3941stre#page/n599/mode/2up,,Picture-Play_vol41_no2_dd-10-1934_sml.jpg
41,3,,11,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0667.jp2,https://archive.org/stream/pictureplay3941stre#page/n665/mode/2up,,Picture-Play_vol41_no3_dd-11-1934_sml.jpg
41,4,,12,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0733.jp2,https://archive.org/stream/pictureplay3941stre#page/n731/mode/2up,pic cut,Picture-Play_vol41_no4_dd-12-1934_sml.jpg
41,5,,1,1935,MOMA,pictureplay4143stre,pictureplay4143stre_0005.jp2,https://archive.org/stream/pictureplay4143stre#page/n3/mode/2up,pic cut,Picture-Play_vol41_no5_dd-1-1935_sml.jpg
41,6,,2,1935,MOMA,pictureplay4143stre,MISSING COVER,https://archive.org/stream/pictureplay4143stre#page/n82/mode/1up,pic cut,
42,1,,3,1935,MOMA,pictureplay4143stre,pictureplay4143stre_0165.jp2,https://archive.org/stream/pictureplay4143stre#page/n163/mode/2up,pic cut,Picture-Play_vol42_no1_dd-3-1935_sml.jpg
42,2,,4,1935,MOMA,pictureplay4143stre,pictureplay4143stre_0249.jp2,https://archive.org/stream/pictureplay4143stre#page/n247/mode/2up,pic cut,Picture-Play_vol42_no2_dd-4-1935_sml.jpg
42,3,,5,1935,MOMA,pictureplay4143stre,pictureplay4143stre_0327.jp2,https://archive.org/stream/pictureplay4143stre#page/n325/mode/2up,pic cut,Picture-Play_vol42_no3_dd-5-1935_sml.jpg
42,4,,6,1935,MOMA,pictureplay4143stre,pictureplay4143stre_0411.jp2,https://archive.org/stream/pictureplay4143stre#page/n409/mode/2up,pic cut,Picture-Play_vol42_no4_dd-6-1935_sml.jpg
42,5,,7,1935,MOMA,pictureplay4143stre,pictureplay4143stre_0495.jp2,https://archive.org/stream/pictureplay4143stre#page/n493/mode/2up,pic cut,Picture-Play_vol42_no5_dd-7-1935_sml.jpg
42,6,,8,1935,MOMA,pictureplay4143stre,pictureplay4143stre_0579.jp2,https://archive.org/stream/pictureplay4143stre#page/n577/mode/2up,pic cut,Picture-Play_vol42_no6_dd-8-1935_sml.jpg
43,1,,9,1935,MOMA,pictureplay4143stre,pictureplay4143stre_0663.jp2,https://archive.org/stream/pictureplay4143stre#page/n661/mode/2up,pic cut,Picture-Play_vol43_no1_dd-9-1935_sml.jpg
43,2,,10,1935,MOMA,pictureplay4143stre,pictureplay4143stre_0747.jp2,https://archive.org/stream/pictureplay4143stre#page/n745/mode/2up,pic cut,Picture-Play_vol43_no2_dd-10-1935_sml.jpg
43,3,,11,1935,MOMA,pictureplay4143stre,pictureplay4143stre_0847.jp2,https://archive.org/stream/pictureplay4143stre#page/n845/mode/2up,pic cut,Picture-Play_vol43_no3_dd-11-1935_sml.jpg
43,4,,12,1935,MOMA,pictureplay4143stre,pictureplay4143stre_0947.jp2,https://archive.org/stream/pictureplay4143stre#page/n945/mode/2up,,Picture-Play_vol43_no4_dd-12-1935_sml.jpg
43,5,,1,1936,MOMA,pictureplay4345stre,,,,
43,6,,2,1936,MOMA,pictureplay4345stre,pictureplay4345stre_0011.jp2,https://archive.org/stream/pictureplay4345stre#page/n9/mode/2up,,Picture-Play_vol43_no6_dd-2-1936_sml.jpg
44,1,,3,1936,MOMA,pictureplay4345stre,,,,
44,2,,4,1936,MOMA,pictureplay4345stre,pictureplay4345stre_0113.jp2,https://archive.org/stream/pictureplay4345stre#page/n111/mode/2up,,Picture-Play_vol44_no2_dd-4-1936_sml.jpg
44,3,,5,1936,MOMA,pictureplay4345stre,,,,
44,4,,6,1936,MOMA,pictureplay4345stre,,,,
44,5,,7,1936,MOMA,pictureplay4345stre,,,,
44,6,,8,1936,MOMA,pictureplay4345stre,,,,
45,1,,9,1936,MOMA,pictureplay4345stre,pictureplay4345stre_0215.jp2,https://archive.org/stream/pictureplay4345stre#page/n213/mode/2up,,Picture-Play_vol45_no1_dd-9-1936_sml.jpg
45,2,,10,1936,MOMA,pictureplay4345stre,pictureplay4345stre_0313.jp2,https://archive.org/stream/pictureplay4345stre#page/n311/mode/2up,,Picture-Play_vol45_no2_dd-10-1936_sml.jpg
45,3,,11,1936,MOMA,pictureplay4345stre,pictureplay4345stre_0413.jp2,https://archive.org/stream/pictureplay4345stre#page/n411/mode/2up,,Picture-Play_vol45_no3_dd-11-1936_sml.jpg
45,4,,12,1936,MOMA,pictureplay4345stre,pictureplay4345stre_0513.jp2,https://archive.org/stream/pictureplay4345stre#page/n511/mode/2up,,Picture-Play_vol45_no4_dd-12-1936_sml.jpg
45,5,,1,1937,MOMA,pictureplay4547stre,pictureplay4547stre_0007.jp2,https://archive.org/stream/pictureplay4547stre#page/n5/mode/2up,,Picture-Play_vol45_no5_dd-1-1937_sml.jpg
45,6,,2,1937,MOMA,pictureplay4547stre,pictureplay4547stre_0105.jp2,https://archive.org/stream/pictureplay4547stre#page/n103/mode/2up,pic cut,Picture-Play_vol45_no6_dd-2-1937_sml.jpg
46,1,,3,1937,MOMA,pictureplay4547stre,pictureplay4547stre_0205.jp2,https://archive.org/stream/pictureplay4547stre#page/n203/mode/2up,pic cut,Picture-Play_vol46_no1_dd-3-1937_sml.jpg
46,2,,4,1937,MOMA,pictureplay4547stre,pictureplay4547stre_0305.jp2,https://archive.org/stream/pictureplay4547stre#page/n303/mode/2up,,Picture-Play_vol46_no2_dd-4-1937_sml.jpg
46,3,,5,1937,MOMA,pictureplay4547stre,pictureplay4547stre_0403.jp2,https://archive.org/stream/pictureplay4547stre#page/n401/mode/2up,pic cut,Picture-Play_vol46_no3_dd-5-1937_sml.jpg
46,4,,6,1937,MOMA,pictureplay4547stre,pictureplay4547stre_0503.jp2,https://archive.org/stream/pictureplay4547stre#page/n501/mode/2up,pic cut,Picture-Play_vol46_no4_dd-6-1937_sml.jpg
46,5,,7,1937,MOMA,pictureplay4547stre,pictureplay4547stre_0599.jp2,https://archive.org/stream/pictureplay4547stre#page/n597/mode/2up,pic cut,Picture-Play_vol46_no5_dd-7-1937_sml.jpg
46,6,,8,1937,MOMA,pictureplay4547stre,pictureplay4547stre_0697.jp2,https://archive.org/stream/pictureplay4547stre#page/n695/mode/2up,pic cut,Picture-Play_vol46_no6_dd-8-1937_sml.jpg
47,1,,9,1937,MOMA,pictureplay4547stre,pictureplay4547stre_0797.jp2,https://archive.org/stream/pictureplay4547stre#page/n795/mode/2up,cover ripped,Picture-Play_vol47_no1_dd-9-1937_sml.jpg
47,2,,10,1937,MOMA,pictureplay4547stre,pictureplay4547stre_0897.jp2,https://archive.org/stream/pictureplay4547stre#page/n895/mode/2up,pic cut,Picture-Play_vol47_no2_dd-10-1937_sml.jpg
47,3,,11,1937,MOMA,pictureplay4547stre,pictureplay4547stre_0999.jp2,https://archive.org/stream/pictureplay4547stre#page/n997/mode/2up,pic cut,Picture-Play_vol47_no3_dd-11-1937_sml.jpg
